t,step,linear,cosine,impulse (0.05s)
0.005700000000000002,1.5189146790298264e-13,1.5189146790298264e-13,1.5189146790298264e-13,1.5189146790297704e-13
0.005800000000000002,1.541997305613154e-13,1.541997305613154e-13,1.541997305613154e-13,1.541997305613009e-13
0.0059000000000000025,1.5649717592088863e-13,1.5649717592088863e-13,1.5649717592088863e-13,1.5649717592085185e-13
0.006000000000000003,1.5878387147434504e-13,1.5878387147434504e-13,1.5878387147434504e-13,1.587838714742567e-13
0.006100000000000003,1.6105988425358141e-13,1.6105988425358141e-13,1.6105988425358141e-13,1.6105988425338159e-13
0.006200000000000003,1.63325280832978e-13,1.63325280832978e-13,1.63325280832978e-13,1.6332528083255101e-13
0.0063000000000000035,1.6558012733260503e-13,1.6558012733260503e-13,1.6558012733260503e-13,1.6558012733173764e-13
0.006400000000000004,1.6782448942140667e-13,1.6782448942140667e-13,1.6782448942140667e-13,1.6782448941964859e-13
0.006500000000000004,1.7005843232036236e-13,1.7005843232036236e-13,1.7005843232036236e-13,1.7005843231670523e-13
0.006600000000000004,1.7228202080562607e-13,1.7228202080562607e-13,1.7228202080562607e-13,1.7228202079784348e-13
0.0067000000000000046,1.744953192116432e-13,1.744953192116432e-13,1.744953192116432e-13,1.744953191950461e-13
0.006800000000000005,1.7669839143424555e-13,1.7669839143424555e-13,1.7669839143424555e-13,1.7669839139952837e-13
0.006900000000000005,1.788913009337245e-13,1.7889130093372447e-13,1.7889130093372447e-13,1.788913008634157e-13
0.007000000000000005,1.810741107378824e-13,1.8107411073788235e-13,1.8107411073788238e-13,1.8107411060067248e-13
0.007100000000000006,1.8324688344506254e-13,1.8324688344506246e-13,1.832468834450625e-13,1.8324688315135948e-13
0.007200000000000006,1.8540968122715762e-13,1.8540968122715752e-13,1.8540968122715757e-13,1.8540968054483326e-13
0.007300000000000006,1.8756256583259707e-13,1.8756256583259694e-13,1.8756256583259704e-13,1.8756256426108944e-13
0.007400000000000006,1.8970559858931333e-13,1.8970559858931313e-13,1.8970559858931325e-13,1.8970559515361315e-13
0.007500000000000007,1.9183884040768698e-13,1.9183884040768667e-13,1.9183884040768688e-13,1.9183883333271048e-13
0.007600000000000007,1.9396235178347138e-13,1.9396235178347088e-13,1.939623517834712e-13,1.9396233800767157e-13
0.007700000000000007,1.9607619280069643e-13,1.9607619280069557e-13,1.9607619280069618e-13,1.9607616724956893e-13
0.0078000000000000074,1.9818042313455203e-13,1.9818042313455057e-13,1.981804231345516e-13,1.9818035876201507e-13
0.007900000000000008,2.00275102054251e-13,2.0027510205424845e-13,2.0027510205425027e-13,2.0027493074180125e-13
0.008000000000000007,2.02360288425872e-13,2.0236028842586734e-13,2.0236028842587074e-13,2.0235988140849305e-13
0.008100000000000007,2.0443604071518217e-13,2.0443604071517303e-13,2.0443604071517975e-13,2.0443518821744464e-13
0.008200000000000006,2.0650241699044e-13,2.0650241699042085e-13,2.0650241699043473e-13,2.0650078883613169e-13
0.008300000000000005,2.0855947492517832e-13,2.0855947492513705e-13,2.0855947492516577e-13,2.085565617377741e-13
0.008400000000000005,2.1060727180096753e-13,2.1060727180087968e-13,2.1060727180093749e-13,2.1060230617431487e-13
0.008500000000000004,2.12645864510159e-13,2.1264586450997865e-13,2.1264586451009058e-13,2.1263772117630702e-13
0.008600000000000003,2.1467530955860857e-13,2.1467530955825486e-13,2.14675309558463e-13,2.1466236645734097e-13
0.008700000000000003,2.1669566306838039e-13,2.1669566306771764e-13,2.166956630680902e-13,2.1667558259628352e-13
0.008800000000000002,2.187069807804304e-13,2.1870698077924016e-13,2.1870698077988457e-13,2.1866753061321278e-13
0.008900000000000002,2.2070931805727002e-13,2.207093180552111e-13,2.207093180562926e-13,2.2062804389637285e-13
0.009000000000000001,2.2270272988560924e-13,2.2270272988216175e-13,2.227027298839295e-13,2.2254646885382483e-13
0.0091,2.246872708789784e-13,2.2468727087329477e-13,2.2468727087618988e-13,2.244025466984684e-13
0.0092,2.2666299528032917e-13,2.266629952709137e-13,2.266629952758327e-13,2.2616618696178661e-13
0.0093,2.2862995696461214e-13,2.286299569487507e-13,2.286299569574672e-13,2.277971409096965e-13
0.009399999999999999,2.3058820944133147e-13,2.305882094141181e-13,2.3058820942993845e-13,2.245171705536201e-13
0.009499999999999998,2.325378058570027e-13,2.3253780580980833e-13,2.325378058385427e-13,2.1655162864340488e-13
0.009599999999999997,2.344787989975135e-13,2.344787989156673e-13,2.344787989670613e-13,2.038171027377383e-13
0.009699999999999997,2.3641124129038593e-13,2.3641124114976275e-13,2.3641124123954664e-13,1.861905776449856e-13
0.009799999999999996,2.3833518480686645e-13,2.3833518456900204e-13,2.383351847217739e-13,1.637665138873288e-13
0.009899999999999996,2.4025068126384144e-13,2.402506808690361e-13,2.40250681122219e-13,1.3128479904379581e-13
0.009999999999999995,2.421577820255034e-13,2.421577813476288e-13,2.421577817924023e-13,8.867955736952666e-14
0.010099999999999994,2.4405653810469593e-13,2.440565368673549e-13,2.440565376909234e-13,3.102617119244578e-14
0.010199999999999994,2.459470001637811e-13,2.459469978172421e-13,2.459469993470533e-13,4.677066075876379e-14
0.010299999999999993,2.478292185149559e-13,2.4782921403722244e-13,2.4782921682357523e-13,1.544863946696464e-13
0.010399999999999993,2.4970324308426707e-13,2.497032347408808e-13,2.4970323968063615e-13,3.0191093153136566e-13
0.010499999999999992,2.5156912337527163e-13,2.5156910840004875e-13,2.5156911689778e-13,5.045273809830315e-13
0.010599999999999991,2.534269084320273e-13,2.5342686371910536e-13,2.5342689676300133e-13,7.819641099838197e-13
0.01069999999999999,2.5527664680325655e-13,2.5527651077784985e-13,2.5527660784572996e-13,1.1545592951790994e-12
0.01079999999999999,2.5711838646493684e-13,2.571180409700401e-13,2.571182601797222e-13,1.6577710254295716e-12
0.01089999999999999,2.5895217471030177e-13,2.5895142686439627e-13,2.5895184528046985e-13,2.336346950376835e-12
0.010999999999999989,2.60778039159766e-13,2.607766230229554e-13,2.607773360860339e-13,3.2502643354733695e-12
0.011099999999999988,2.6259598894521794e-13,2.6259356332091716e-13,2.6259468789018527e-13,4.479377654533011e-12
0.011199999999999988,2.644060147296944e-13,2.6440214363186053e-13,2.644038357767723e-13,6.128223302549798e-12
0.011299999999999987,2.662080886495097e-13,2.662022222446844e-13,2.6620469525950496e-13,8.332389841752363e-12
0.011399999999999987,2.6800216528817357e-13,2.6799359882812384e-13,2.6799714380633667e-13,1.1275677012112179e-11
0.011499999999999986,2.6978817919309597e-13,2.697759965468418e-13,2.6978102010935776e-13,1.5201401064005954e-11
0.011599999999999985,2.715660455926904e-13,2.71549042690388e-13,2.715561052111748e-13,2.0422681193359933e-11
0.011699999999999985,2.7333564203857233e-13,2.7331224882910475e-13,2.7332210342453737e-13,2.7355419739200233e-11
0.011799999999999984,2.7509680783231526e-13,2.7506497250556935e-13,2.750786229302306e-13,3.6530986632587636e-11
0.011899999999999984,2.7684932538428496e-13,2.7679747866337084e-13,2.7682513921228493e-13,4.864687871015868e-11
0.011999999999999983,2.7859290144446983e-13,2.7849985376747285e-13,2.785609547000014e-13,6.459877343569513e-11
0.012099999999999982,2.803271480874446e-13,2.801619263202013e-13,2.8027628038229745e-13,8.554788227272261e-11
0.012199999999999982,2.820515633396096e-13,2.817642897311916e-13,2.819611465598185e-13,1.1298546198744384e-10
0.012299999999999981,2.837654934987707e-13,2.8328713911285165e-13,2.8360530897084604e-13,1.4882570925223385e-10
0.01239999999999998,2.8545921318476174e-13,2.8470121731546423e-13,2.85189270849244e-13,1.955229261271333e-10
0.01249999999999998,2.87122857069258e-13,2.8124980068423924e-13,2.8669312011241564e-13,2.562087247106292e-10
0.01259999999999998,2.8874634375899465e-13,2.731890575483432e-13,2.880874759467169e-13,3.3487379308842123e-10
0.012699999999999979,2.9031041701105657e-13,2.6048687727297216e-13,2.8461547526995165e-13,4.365862474485391e-10
0.012799999999999978,2.917955024457353e-13,2.430917701839928e-13,2.765331499261702e-13,5.677796870106438e-10
0.012899999999999977,2.9317269196610043e-13,2.212011688515411e-13,2.637999301136623e-13,7.365855246839919e-10
0.012999999999999977,2.8969409529973206e-13,1.9414969573642866e-13,2.463637284349972e-13,9.532659176575926e-10
0.013099999999999976,2.8162595560284014e-13,1.5763690895174614e-13,2.2442196401475156e-13,1.2307350872809823e-09
0.013199999999999976,2.6893700017460746e-13,1.117800481694776e-13,1.9730984617516664e-13,1.5852150257503898e-09
0.013299999999999975,2.515858316661091e-13,5.57950338334739e-14,1.607170348652914e-13,2.037042659142413e-09
0.013399999999999974,2.2978927474717617e-13,1.449812694824532e-14,1.1475218638479432e-13,2.6116445703257083e-09
0.013499999999999974,2.0290182832056924e-13,1.0446134608594246e-13,5.863288417484602e-14,3.3407457136278663e-09
0.013599999999999973,1.7108396075417123e-13,2.1871958068394657e-13,1.1820614406048645e-14,4.263833665046111e-09
0.013699999999999973,1.2973824462007062e-13,3.620167642585583e-13,1.0196905137637906e-13,5.429964337871331e-09
